Model,Epsilon,TotalTime,AvgTimePerSample
AC-1,0.000000,3.249734,0.032497
AC-1,0.010000,1.975293,0.019753
AC-1,0.020000,2.220314,0.022203
AC-1,0.030000,3.161763,0.031618
AC-1,0.050000,4.425115,0.044251
AC-1,0.070000,7.589227,0.075892
AC-1,0.100000,11.636042,0.116360
AC-3,0.000000,1.442733,0.014427
AC-3,0.010000,5.276739,0.052767
AC-3,0.020000,12.275088,0.122751
AC-3,0.030000,22.698937,0.226989
AC-3,0.050000,52.324656,0.523247
AC-3,0.070000,84.222898,0.842229
AC-3,0.100000,200.090981,2.000910
