index,onnx,vnnlib,status,time,error
27,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000101_eps_1_255.vnnlib,unsat,602.1441,
52,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000277_eps_1_255.vnnlib,unsat,548.9098,
68,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000356_eps_1_255.vnnlib,unsat,528.0213,
